Time,V(0),V(N001),V(N002),V(N003),V(N004),V(N005),I(C1),I(I1),I(I2),I(L1),I(L2),I(R1),I(R2),I(R3),I(R4),
0.00325,0,6.52193,-1.76975,-0.61941,0.338064,-0.310217,0.00618387,0.0891007,0.0891007,0.0888017,0.000298943,-0.00618387,-0.00648281,-0.0829168,-0.00618387,
0.0033,0,6.34508,-1.80135,-0.620187,0.178725,-0.311869,0.00616635,0.0876307,0.0876307,0.0888911,-0.0012604,-0.00616635,-0.00490595,-0.0814643,-0.00616635,
0.00335,0,6.16102,-1.83215,-0.620269,0.0184975,-0.313143,0.00614252,0.0860742,0.0860742,0.0889003,-0.00282612,-0.00614252,-0.0033164,-0.0799317,-0.00614252,
0.0034,0,5.96994,-1.8621,-0.619658,-0.142433,-0.314039,0.00611237,0.0844328,0.0844328,0.0888291,-0.00439631,-0.00611237,-0.00171606,-0.0783204,-0.00611237,
0.00345,0,5.77204,-1.89118,-0.618355,-0.303878,-0.314559,0.00607592,0.0827081,0.0827081,0.0886772,-0.00596911,-0.00607592,-0.000106808,-0.0766321,-0.00607592,
0.0035,0,5.5675,-1.91935,-0.616364,-0.465654,-0.314706,0.00603316,0.0809017,0.0809017,0.0884443,-0.00754264,-0.00603316,0.00150948,-0.0748685,-0.00603316,
0.00355,0,5.35654,-1.9466,-0.613688,-0.627575,-0.314482,0.00598412,0.0790155,0.0790155,0.0881306,-0.00911505,-0.00598412,0.00313093,-0.0730314,-0.00598412,
0.0036,0,5.13937,-1.97288,-0.610331,-0.789457,-0.31389,0.00592882,0.0770513,0.0770513,0.0877358,-0.0106845,-0.00592882,0.00475567,-0.0711225,-0.00592882,
0.00365,0,4.91619,-1.99819,-0.606297,-0.951116,-0.312932,0.00586731,0.0750111,0.0750111,0.0872603,-0.0122492,-0.00586731,0.00638185,-0.0691438,-0.00586731,
0.0037,0,4.68725,-2.02248,-0.601593,-1.11237,-0.311612,0.00579962,0.0728969,0.0728969,0.0867041,-0.0138072,-0.00579962,0.0080076,-0.0670972,-0.00579962,
0.00375,0,4.45275,-2.04574,-0.596222,-1.27304,-0.309933,0.00572579,0.0707107,0.0707107,0.0860676,-0.0153569,-0.00572579,0.00963109,-0.0649849,-0.00572579,
0.0038,0,4.21294,-2.06794,-0.590193,-1.43295,-0.307899,0.00564589,0.0684547,0.0684547,0.0853511,-0.0168964,-0.00564589,0.0112505,-0.0628088,-0.00564589,
0.00385,0,3.96806,-2.08906,-0.583512,-1.59191,-0.305514,0.00555997,0.0661312,0.0661312,0.0845551,-0.0184239,-0.00555997,0.012864,-0.0605712,-0.00555997,
0.0039,0,3.71836,-2.10907,-0.576187,-1.74976,-0.302782,0.00546811,0.0637424,0.0637424,0.0836803,-0.0199379,-0.00546811,0.0144697,-0.0582743,-0.00546811,
0.00395,0,3.46407,-2.12796,-0.568227,-1.90631,-0.299708,0.00537038,0.0612907,0.0612907,0.0827271,-0.0214364,-0.00537038,0.016066,-0.0559203,-0.00537038,
